variableName;variableDescription
"s_84";"Rate the following questions on a scale from 1 - 7  - How do you perceive that the co-writer collaborated with you when producing the narrative, with 1 being challenging and 7 being supportive? Do you feel it more often supported your line of narrative or do you feel that they more often pushed the story in a different direction?"
"s_85";"Rate the following questions on a scale from 1 - 7  - How do you perceive that the co-writer collaborated with you when producing the narrative, with 1 being challenging and 7 being supportive? Do you feel it more often supported your line of narrative or do you feel that they more often pushed the story in a different direction? - Comments? "
"s_86";"Rate the following questions on a scale from 1 - 7  - Did you perceive this method of collaboration to be harmful or helpful to the outcome of your story, with 1 being very harmful and 7 being very helpful."
"s_87";"Rate the following questions on a scale from 1 - 7  - Did you perceive this method of collaboration to be harmful or helpful to the outcome of your story, with 1 being very harmful and 7 being very helpful. - Comments? "
"s_88";"Rate the following questions on a scale from 1 - 7  - Did you enjoy interacting with a co-writer that supported or challenged you in this way, with 1 being no enjoyment and 7 being high enjoyment?"
"s_91";"Rate the following questions on a scale from 1 - 7  - Did you enjoy interacting with a co-writer that supported or challenged you in this way, with 1 being no enjoyment and 7 being high enjoyment? - Comments? "
"s_94";"How do you perceive that the co-writer collaborated with you when producing the narrative?  Do you feel they more often supported your line of narrative or do you feel that they more often pushed the story in a different direction?  1 = Challenging 7 = Supportive?"
"s_95";"Did you perceive this method of collaboration to be harmful or helpful to the outcome of your story?  1 = Very harmful 7 = Very Helpful"
"s_96";"Did you enjoy interacting with a co-writer that supported or challenged you in this way  1 = no enjoyment 7 = high enjoyment?"
"s_97";"Comments to the collaboration?"
"s_92";"How much ownership do you feel over the story,  1 = low feeling of ownership  7 = feeling full ownership?"
"s_93";"Did you perceive the co-writer to contribute to the narrative development of the story?  1 = no contribution 7 = high contribution."
"s_98";"Comments to ownership and contribution? "
"b_2";"Gender"
"lang";"Language"
"b_3";"Age"
"s_43";"How often do you use LLM tools, specifically generative chatmodels like ChatGPT?"
"s_44_1";"For which of the following tasks do you use LLM tools? (Select all that apply) - Brainstorming ideas"
"s_44_2";"For which of the following tasks do you use LLM tools? (Select all that apply) - Research and information gathering"
"s_44_3";"For which of the following tasks do you use LLM tools? (Select all that apply) - Drafting outlines"
"s_44_4";"For which of the following tasks do you use LLM tools? (Select all that apply) - Writing first drafts"
"s_44_5";"For which of the following tasks do you use LLM tools? (Select all that apply) - Editing and Proofreading"
"s_44_6";"For which of the following tasks do you use LLM tools? (Select all that apply) - Generating visuals (e.g. images, charts)"
"s_44_7";"For which of the following tasks do you use LLM tools? (Select all that apply) - Creating social media content"
"s_44_8";"For which of the following tasks do you use LLM tools? (Select all that apply) - Summarizing documents"
"s_44_9";"For which of the following tasks do you use LLM tools? (Select all that apply) - Translation"
"s_44_10";"For which of the following tasks do you use LLM tools? (Select all that apply) - Generating different creative ext formats (poetry, scripts, musical pieces etc.)"
"s_44_11";"For which of the following tasks do you use LLM tools? (Select all that apply) - Coding"
"s_44_12";"For which of the following tasks do you use LLM tools? (Select all that apply) - Email or letters"
"s_44_13";"For which of the following tasks do you use LLM tools? (Select all that apply) - Other"
"email";"E-mail"
"statoverall_1";"Overall Status - New"
"statoverall_2";"Overall Status - Distributed"
"statoverall_3";"Overall Status - Partially Complete"
"statoverall_4";"Overall Status - Complete"
"statoverall_5";"Overall Status - Rejected"
