s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;"";;"";;"";;;;"";;;"";2;;48,9;4;0;0;1;1;0;0;1;0;0;1;0;0;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";1;;24;6;0;0;0;0;0;0;0;0;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";1;;25;2;0;1;0;1;1;0;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";2;;28;2;0;0;0;0;1;0;0;1;1;1;1;1;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";2;;53;2;1;1;1;1;1;1;1;1;1;1;1;1;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";1;;25;4;1;0;1;1;0;0;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";1;;38;2;1;1;1;1;1;0;0;1;0;1;1;1;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";2;;59;2;1;1;1;1;1;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";2;;24;2;1;1;0;0;1;0;0;0;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";8;5;1;"";8;5;"";3;;100;2;1;1;1;1;1;1;1;1;1;1;1;1;1;"";0;0;0;1;0
;"";;"";;"";5;4;6;"";5;4;"";2;;60;5;0;1;0;1;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;5;6;"";5;6;"";2;;55;4;0;0;0;0;1;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;6;4;"It was fun, and nice when the AI had a lot more adjectives that could support my worse vocabulary. I found myself getting a little frustrated when the AI ??replaced my last word with something else, as if my word wasn't good enough, but I guess it's a good way to illustrate a collaboration with a real person.";5;5;"";1;;24;6;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";6;6;8;"Very fun - but sometimes the model did not follow through with its prior outputs which annoyed me. I felt like I needed to explain 'why' all the time, but the story kept moving forward in a sense";7;8;"Surprisingly I feel almost full ownership - did not expect this outcome.";1;;24;2;1;1;1;0;1;1;0;0;1;0;1;1;0;"";0;0;0;1;0
;"";;"";;"";4;3;5;"";3;7;"";1;;22;2;0;0;0;0;1;0;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";5;5;4;"As much as the model didn't strictly steer the story in another direction, I felt that it didn't sense my intentions for the characters well enough to predict how I would like the story to continue.";6;3;"The LLM offered little to no plot development, it felt more like it was just filling in some gaps. Granted, I did offer a lot of development on my side, so this was not necessarily a bad thing. But the model definitely contributed way less.";3;;22;1;0;1;0;0;1;1;0;1;1;0;0;1;1;"";0;0;0;1;0
;"";;"";;"";5;4;6;"Pretty fun. I think it would be hard to write an entire story like this, but it helped start the story and spark new ideas along the way.";7;4;"It definitly shifted the story in a different direction sometimes, but overall i was the main driver and it was mostly supportive.";2;;26;3;1;1;0;0;1;0;0;1;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";4;5;4;"";6;6;"";2;;23;2;0;1;0;0;0;0;0;1;0;0;0;0;0;"";0;0;0;1;0
