"conversation_id","xsim_h2a","human_res","human_nov","ai_nov","creativity_originality","creativity_surprisingness","coherence_element_consistency","coherence_logical_progression","creativity","coherence"
"conv_006cb479-ccd3-40d1-83fb-4b614573f636",0.72253461529051,-1.35729924663882,-2.12031884463509,-1.91552886657593,3,5,4.5,5,4,4.75
"conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968",0.73607682413675,-0.676316783373807,-1.64126388193598,-2.70574669433411,3.5,5,5,5,4.25,5
"conv_07ec1a21-00a8-494b-9747-ef2f719abd5a",0.716684576022071,-0.495111068037857,-1.7270660697022,-3.2565073799679,2.5,4.5,4.5,4.5,3.5,4.5
"conv_11293fd2-d757-471f-8e2e-783542167a8e",0.689656654470084,-1.16916172596297,-1.99750952916506,-2.84776103588575,4,4,4,4.5,4,4.25
"conv_155f7493-3058-435d-a672-40e7e8ec213a",0.667417286559203,-0.610335599456667,-1.73671943008668,-3.17756175589428,4.5,3,3.5,3.5,3.75,3.5
"conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070",0.67592799018971,-1.40733040622039,-2.15757439146957,-2.68114464729401,2.5,4,4,3.5,3.25,3.75
"conv_193bbf9f-e759-475a-ae86-76613053567a",0.70365053294139,-0.342419944690863,-1.69314058046253,-2.83902204295721,4,2.5,3.5,3.5,3.25,3.5
"conv_1a776856-1876-44eb-b0f6-31b31250ddca",0.708182783291332,-0.742933102384811,-1.74510585512639,-2.35657328871249,4.5,5,5,5,4.75,5
"conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8",0.654110597454393,-1.10629482472249,-2.11537351361047,-2.81352598334118,3,3,3.5,4.5,3,4
"conv_23ed55f8-cc91-439f-8c8e-e24f66457596",0.688013106526564,-0.853929203413964,-1.83445718176173,-3.499876760119,3,4,3,4,3.5,3.5
"conv_29031421-8265-472f-b4ce-f147dd80edca",0.719205030027678,-0.99955691431657,-2.06986960743309,-3.23673640365972,4,4.5,4,4.5,4.25,4.25
"conv_2ce635fa-cb6c-424f-9565-859a944eed92",0.695152771447911,-0.329024098156444,-1.47847873860228,-3.14920158531823,4.5,4.5,3.5,4.5,4.5,4
"conv_2f306db5-d066-4651-b17c-762d7f601570",0.661946953988434,-1.04101936235911,-1.87796115364268,-2.65441070262537,3,4,3.5,4,3.5,3.75
"conv_328804bd-df9e-47da-ad43-e4da646b9ceb",0.702711238141817,-1.37762508933776,-2.4001855287801,-2.49694983472543,2,4.5,4,4.5,3.25,4.25
"conv_33502e38-922d-4e7d-a252-ab236947c3d2",0.646636308250788,-0.940058971014966,-1.89140397465825,-2.09162695700358,4,4.5,4,4,4.25,4
"conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3",0.73121429543856,-0.313157095499234,-1.29318559155009,-2.97353704321306,3,3,3,3.5,3,3.25
"conv_3c43f51a-ffcf-4161-8d6d-b76bf669acb6",0.705512314462018,-0.503083826662752,-1.52877562863302,-2.5536160630545,5,4.5,5,5,4.75,5
"conv_3c5b888e-d991-4bce-adad-5584923b75b5",0.722069842992409,-0.284269178400664,-1.42106543138356,-3.08361055235419,5,3,3.5,3.5,4,3.5
"conv_40197f84-33aa-433b-93b1-045691051ebc",0.746124216939848,-1.29973997713053,-2.26926978665048,-2.78797035227653,2,4,3,5,3,4
"conv_41180468-5036-4f69-af66-b7465bcb7316",0.719582365908239,-0.605097133842723,-1.97738179996725,-3.65643409685855,4.5,4,3,3.5,4.25,3.25
"conv_412eb7ca-cafa-4e38-8b2d-0a40272af090",0.649933917993188,-0.928050716775726,-1.98801487963121,-3.03582890548154,3.5,5,4.5,5,4.25,4.75
"conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb",0.645572388995073,-0.452333975356783,-1.41533830207741,-2.49474101892281,3,4.5,4,4,3.75,4
"conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164",0.69162292369181,-1.62725222550919,-2.11152060643275,-2.09440411304792,3,5,5,5,4,5
"conv_47df141a-738b-422a-8ad6-f222255c695e",0.652578620074723,-0.114517724208763,-1.37186993402561,-2.99471762784593,4.5,3,4.5,3,3.75,3.75
"conv_491b62e9-789d-4b72-b887-557f2ccffc18",0.740110766740723,-0.628546225495764,-1.72817332222476,-2.74271881471908,4,5,3.5,5,4.5,4.25
"conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016",0.729877205787884,-0.918422340000707,-2.1667167852378,-2.65340843171804,1.5,5,5,5,3.25,5
"conv_4aa46faf-273a-4707-be30-a0b216440d87",0.698777000316483,-0.973540466674419,-1.81255777554423,-2.64648428163291,2,3.5,4,4.5,2.75,4.25
"conv_4d1bd73a-bbc9-4e37-8ba0-3cdd7adbc66a",0.680269792277274,-1.65253685097165,-2.54653439255975,-3.05654390701371,5,2,3,2.5,3.5,2.75
"conv_58838068-7cd4-4f6c-b158-aabb542ab4b9",0.70822295054411,-1.0814904990139,-1.95083714697484,-3.33832517076655,5,4.5,4,5,4.75,4.5
"conv_58c2f2e6-db2a-406d-9bc9-04aaf1b0c35a",0.624595766610942,-1.59103777593578,-2.5068382271331,-2.64556080151133,2,5,4.5,5,3.5,4.75
"conv_5b956e03-a900-47aa-88a9-54cb6be40071",0.716869174732211,-1.75256411113839,-2.55891623497678,-2.87089402513699,4.5,2.5,4,3.5,3.5,3.75
"conv_5e234f25-eb78-4ec3-8113-c66645149ddc",0.661699478051872,-0.415684627065968,-1.48883176818198,-2.55000743851614,4.5,5,5,5,4.75,5
"conv_5f17f002-84ad-4315-8c69-20ec83de1223",0.717022369333452,-0.32960515466745,-1.28925888575272,-2.57761844541709,2.5,4.5,2,5,3.5,3.5
"conv_61dd4f08-b460-4c98-8368-fb09762cbe5e",0.611718334814391,-0.863956236276719,-1.86571585453859,-3.06338463940514,2,4,1,4,3,2.5
"conv_62a271e6-a272-4e74-9d10-2dc0c15c530f",0.661986288626303,-1.47798946900387,-2.25380929417429,-2.32515562834973,4,5,4.5,5,4.5,4.75
"conv_634a773b-4e50-4e24-87f3-a5fbebcc6d74",0.671207235955418,-1.06945347815666,-2.04692807206487,-2.68548354681583,2,4.5,3.5,4.5,3.25,4
"conv_68f643620b5081968ccd202f0b32a9250787a797b4322e0b",0.713956311068675,-0.78926246962853,-1.53473041056853,-1.73739486511154,1.5,4.5,3.5,5,3,4.25
"conv_68f73dbdcc8081958c0890edef7c670804df05d299f21c4d",0.71371940930972,-0.569426994964734,-1.24322214408162,-1.66785589882196,2,4,5,4,3,4.5
